Time(s), X(m), Y(m), Altitude_Z(m), Roll(rad), Pitch(rad), Yaw(rad), T1(N), T2(N), T3(N), T4(N)
0.000000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.025063, 0.000000, 0.000000, -0.003045, 0.000000, 0.000000, 0.000000, 0.006795, 0.006795, 0.006795, 0.006795
0.050125, 0.000000, 0.000000, -0.011846, 0.000000, 0.000000, 0.000000, 0.019615, 0.019615, 0.019615, 0.019615
0.075188, 0.000000, 0.000000, -0.025716, 0.000000, 0.000000, 0.000000, 0.032513, 0.032513, 0.032513, 0.032513
0.100251, 0.000000, 0.000000, -0.043938, 0.000000, 0.000000, 0.000000, 0.043471, 0.043471, 0.043471, 0.043471
0.125313, 0.000000, 0.000000, -0.065914, 0.000000, 0.000000, 0.000000, 0.052050, 0.052050, 0.052050, 0.052050
0.150376, 0.000000, 0.000000, -0.091143, 0.000000, 0.000000, 0.000000, 0.058537, 0.058537, 0.058537, 0.058537
0.175439, 0.000000, 0.000000, -0.119283, 0.000000, 0.000000, 0.000000, 0.063278, 0.063278, 0.063278, 0.063278
0.200501, 0.000000, 0.000000, -0.150061, 0.000000, 0.000000, 0.000000, 0.066693, 0.066693, 0.066693, 0.066693
0.225564, 0.000000, 0.000000, -0.183269, 0.000000, 0.000000, 0.000000, 0.069161, 0.069161, 0.069161, 0.069161
0.250627, 0.000000, 0.000000, -0.218789, 0.000000, 0.000000, 0.000000, 0.070898, 0.070898, 0.070898, 0.070898
0.275689, 0.000000, 0.000000, -0.256520, 0.000000, 0.000000, 0.000000, 0.072113, 0.072113, 0.072113, 0.072113
0.300752, 0.000000, 0.000000, -0.296381, 0.000000, 0.000000, 0.000000, 0.072981, 0.072981, 0.072981, 0.072981
0.325815, 0.000000, 0.000000, -0.338327, 0.000000, 0.000000, 0.000000, 0.073600, 0.073600, 0.073600, 0.073600
0.350877, 0.000000, 0.000000, -0.382331, 0.000000, 0.000000, 0.000000, 0.074026, 0.074026, 0.074026, 0.074026
0.375940, 0.000000, 0.000000, -0.428368, 0.000000, 0.000000, 0.000000, 0.074318, 0.074318, 0.074318, 0.074318
0.401003, 0.000000, 0.000000, -0.476418, 0.000000, 0.000000, 0.000000, 0.074521, 0.074521, 0.074521, 0.074521
0.426065, 0.000000, 0.000000, -0.526464, 0.000000, 0.000000, 0.000000, 0.074671, 0.074671, 0.074671, 0.074671
0.451128, 0.000000, 0.000000, -0.578503, 0.000000, 0.000000, 0.000000, 0.074779, 0.074779, 0.074779, 0.074779
0.476190, 0.000000, 0.000000, -0.632529, 0.000000, 0.000000, 0.000000, 0.074853, 0.074853, 0.074853, 0.074853
0.501253, 0.000000, 0.000000, -0.688541, 0.000000, 0.000000, 0.000000, 0.074902, 0.074902, 0.074902, 0.074902
0.526316, 0.000000, 0.000000, -0.746533, 0.000000, 0.000000, 0.000000, 0.074934, 0.074934, 0.074934, 0.074934
0.551378, 0.000000, 0.000000, -0.806503, 0.000000, 0.000000, 0.000000, 0.074957, 0.074957, 0.074957, 0.074957
0.576441, 0.000000, 0.000000, -0.868450, 0.000000, 0.000000, 0.000000, 0.074972, 0.074972, 0.074972, 0.074972
0.601504, 0.000000, 0.000000, -0.932372, 0.000000, 0.000000, 0.000000, 0.074985, 0.074985, 0.074985, 0.074985
0.626566, 0.000000, 0.000000, -0.998268, 0.000000, 0.000000, 0.000000, 0.074994, 0.074994, 0.074994, 0.074994
0.651629, 0.000000, 0.000000, -1.066139, 0.000000, 0.000000, 0.000000, 0.075002, 0.075002, 0.075002, 0.075002
0.676692, 0.000000, 0.000000, -1.135985, 0.000000, 0.000000, 0.000000, 0.075007, 0.075007, 0.075007, 0.075007
0.701754, 0.000000, 0.000000, -1.207805, 0.000000, 0.000000, 0.000000, 0.075010, 0.075010, 0.075010, 0.075010
0.726817, 0.000000, 0.000000, -1.281600, 0.000000, 0.000000, 0.000000, 0.075012, 0.075012, 0.075012, 0.075012
0.751880, 0.000000, 0.000000, -1.357368, 0.000000, 0.000000, 0.000000, 0.075013, 0.075013, 0.075013, 0.075013
0.776942, 0.000000, 0.000000, -1.435110, 0.000000, 0.000000, 0.000000, 0.075013, 0.075013, 0.075013, 0.075013
0.802005, 0.000000, 0.000000, -1.514826, 0.000000, 0.000000, 0.000000, 0.075013, 0.075013, 0.075013, 0.075013
0.827068, 0.000000, 0.000000, -1.596516, 0.000000, 0.000000, 0.000000, 0.075013, 0.075013, 0.075013, 0.075013
0.852130, 0.000000, 0.000000, -1.680179, 0.000000, 0.000000, 0.000000, 0.075014, 0.075014, 0.075014, 0.075014
0.877193, 0.000000, 0.000000, -1.765816, 0.000000, 0.000000, 0.000000, 0.075014, 0.075014, 0.075014, 0.075014
0.902256, 0.000000, 0.000000, -1.853426, 0.000000, 0.000000, 0.000000, 0.075014, 0.075014, 0.075014, 0.075014
0.927318, 0.000000, 0.000000, -1.943010, 0.000000, 0.000000, 0.000000, 0.075014, 0.075014, 0.075014, 0.075014
0.952381, 0.000000, 0.000000, -2.034567, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
0.977444, 0.000000, 0.000000, -2.128099, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.002506, 0.000000, 0.000000, -2.223603, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.027569, 0.000000, 0.000000, -2.321082, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.052632, 0.000000, 0.000000, -2.420534, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.077694, 0.000000, 0.000000, -2.521959, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.102757, 0.000000, 0.000000, -2.625359, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.127820, 0.000000, 0.000000, -2.730731, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.152882, 0.000000, 0.000000, -2.838078, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.177945, 0.000000, 0.000000, -2.947398, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.203008, 0.000000, 0.000000, -3.058692, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.228070, 0.000000, 0.000000, -3.171959, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.253133, 0.000000, 0.000000, -3.287200, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.278195, 0.000000, 0.000000, -3.404414, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.303258, 0.000000, 0.000000, -3.523602, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.328321, 0.000000, 0.000000, -3.644764, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.353383, 0.000000, 0.000000, -3.767900, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.378446, 0.000000, 0.000000, -3.893008, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.403509, 0.000000, 0.000000, -4.020091, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.428571, 0.000000, 0.000000, -4.149147, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.453634, 0.000000, 0.000000, -4.280177, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.478697, 0.000000, 0.000000, -4.413180, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.503759, 0.000000, 0.000000, -4.548157, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.528822, 0.000000, 0.000000, -4.685108, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.553885, 0.000000, 0.000000, -4.824032, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.578947, 0.000000, 0.000000, -4.964930, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.604010, 0.000000, 0.000000, -5.107801, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.629073, 0.000000, 0.000000, -5.252646, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.654135, 0.000000, 0.000000, -5.399465, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.679198, 0.000000, 0.000000, -5.548257, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.704261, 0.000000, 0.000000, -5.699023, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.729323, 0.000000, 0.000000, -5.851762, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.754386, 0.000000, 0.000000, -6.006475, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.779449, 0.000000, 0.000000, -6.163162, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.804511, 0.000000, 0.000000, -6.321822, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.829574, 0.000000, 0.000000, -6.482456, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.854637, 0.000000, 0.000000, -6.645063, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.879699, 0.000000, 0.000000, -6.809644, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.904762, 0.000000, 0.000000, -6.976199, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.929825, 0.000000, 0.000000, -7.144727, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.954887, 0.000000, 0.000000, -7.315229, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
1.979950, 0.000000, 0.000000, -7.487704, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.005013, 0.000000, 0.000000, -7.662153, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.030075, 0.000000, 0.000000, -7.838576, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.055138, 0.000000, 0.000000, -8.016972, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.080201, 0.000000, 0.000000, -8.197342, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.105263, 0.000000, 0.000000, -8.379686, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.130326, 0.000000, 0.000000, -8.564003, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.155388, 0.000000, 0.000000, -8.750294, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.180451, 0.000000, 0.000000, -8.938558, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.205514, 0.000000, 0.000000, -9.128796, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.230576, 0.000000, 0.000000, -9.321007, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.255639, 0.000000, 0.000000, -9.515192, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.280702, 0.000000, 0.000000, -9.711351, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.305764, 0.000000, 0.000000, -9.909483, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.330827, 0.000000, 0.000000, -10.109589, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.355890, 0.000000, 0.000000, -10.311669, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.380952, 0.000000, 0.000000, -10.515722, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.406015, 0.000000, 0.000000, -10.721749, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.431078, 0.000000, 0.000000, -10.929749, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.456140, 0.000000, 0.000000, -11.139723, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.481203, 0.000000, 0.000000, -11.351671, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.506266, 0.000000, 0.000000, -11.565592, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.531328, 0.000000, 0.000000, -11.781487, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.556391, 0.000000, 0.000000, -11.999355, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.581454, 0.000000, 0.000000, -12.219197, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.606516, 0.000000, 0.000000, -12.441013, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.631579, 0.000000, 0.000000, -12.664802, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.656642, 0.000000, 0.000000, -12.890565, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.681704, 0.000000, 0.000000, -13.118301, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.706767, 0.000000, 0.000000, -13.348011, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.731830, 0.000000, 0.000000, -13.579695, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.756892, 0.000000, 0.000000, -13.813352, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.781955, 0.000000, 0.000000, -14.048983, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.807018, 0.000000, 0.000000, -14.286587, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.832080, 0.000000, 0.000000, -14.526165, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
2.857143, 0.000000, 0.000000, -14.767717, 0.000000, 0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
